age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
25-34,Research And Instruction Librarian,55000.0,0.0,USD,United States,Massachusetts,Boston,6.0,6.0,Masters,Woman,Management,Senior
25-34,Change & Internal Communications Manager,72897.0,5340.0,GBP,United Kingdom,N/A,Cambridge,9.0,6.0,College,Man,Management,Senior
25-34,Marketing Specialist,34000.0,0.0,USD,United States,Tennessee,Chattanooga,3.0,3.0,College,Woman,Marketing & Sales,Mid Level
25-34,Program Manager,62000.0,3000.0,USD,United States,Wisconsin,Milwaukee,9.0,6.0,College,Woman,Management,Senior
25-34,Accounting Manager,60000.0,7000.0,USD,United States,South Carolina,Greenville,9.0,6.0,College,Woman,Management,Senior
25-34,Scholarly Publishing Librarian,62000.0,0.0,USD,United States,New Hampshire,Hanover,9.0,3.0,Masters,Man,Library & Information Services,Senior
25-34,Publishing Assistant,33000.0,2000.0,USD,United States,South Carolina,Columbia,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
25-34,Publishing Assistant,33000.0,2000.0,USD,United States,South Carolina,Columbia,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
25-34,Librarian,50000.0,0.0,USD,United States,Arizona,Yuma,6.0,6.0,Masters,Man,Library & Information Services,Senior
45-54,Systems Analyst,112000.0,10000.0,USD,United States,Missouri,St. Louis,25.5,25.5,College,Woman,Analytics,Lead/Executive
35-44,Senior Accountant,45000.0,0.0,USD,United States,Florida,Palm Coast,25.5,25.5,College,Woman,Accountant & Finance,Lead/Executive
25-34,Office Manager,47500.0,0.0,USD,United States,N/A,"Boston, Ma",6.0,6.0,College,Woman,Administrative & Operations,Senior
35-44,Deputy Title Ix Coordinator/ Assistant Director Office Of Equity And Diversity,62000.0,0.0,USD,United States,Pennsylvania,Scranton,15.5,6.0,PhD,Woman,Administrative & Operations,Lead/Executive
35-44,Manager Of Information Services,100000.0,0.0,USD,United States,Michigan,Detroit,15.5,15.5,College,Man,Management,Lead/Executive
25-34,Legal Aid Staff Attorney,52000.0,0.0,USD,United States,Minnesota,Saint Paul,3.0,3.0,Unknown,Woman,Legal Services,Mid Level
18-24,Patient Care Coordinator,22857.0,0.0,CAD,Canada,N/A,Remote,0.5,0.5,College,Woman,Administrative & Operations,Entry Level
35-44,Quality And Compliance Specialist,32043.0,668.0,GBP,United Kingdom,N/A,Lincoln,15.5,6.0,College,Man,Specialist,Lead/Executive
35-44,Executive Assistant,85000.0,5000.0,USD,United States,Illinois,Chicago,9.0,9.0,College,Woman,Administrative & Operations,Senior
45-54,Graphic Designer,59000.0,0.0,USD,United States,California,Pomona,25.5,25.5,College,Woman,Creative & Media,Lead/Executive
35-44,Senior Manager,98000.0,1000.0,USD,United States,Georgia,Atlanta,15.5,3.0,Masters,Woman,Management,Lead/Executive
35-44,Assistant Director Of Academic Advising,54000.0,0.0,USD,United States,Florida,Boca Raton,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Data Programmer Analyst,74000.0,0.0,USD,United States,Pennsylvania,Philadelphia,6.0,6.0,Masters,Woman,Analytics,Senior
